Pais,Felicidad,GDP,PROMIS_mean,PROMIS_sd,PROMIS_median,PROMIS_iqr_low,PROMIS_iqr_high,PROMIS_patients
Kenya,4.543000221,100667000000.0,,,,,,
Tunisia,4.515999794,42514151614.0,,,,,,
Pakistan,4.515799999,300306000000.0,,,,,,
Mali,4.479000092,17465392779.0,,,,,,
Namibia,4.459400177,10562637376.0,,,,,,
Eswatini,4.396100044,3984840580.0,,,,,,
Myanmar,4.394199848,78930257227.0,,,,,,
Sri Lanka,4.362199783,80969683537.0,,,,,,
Madagascar,4.339099884,13225591804.0,,,,,,
Egypt,4.287700176,365253000000.0,,,,,,
Chad,4.250800133,10715396135.0,,,,,,
Ethiopia,4.241499901,107658000000.0,,,,,,
Yemen,4.196899891,18840511908.0,,,,,,
Mauritania,4.152599812,7915985514.0,,,,,,
Jordan,4.152100086,43697659296.0,,,,,,
Togo,4.112299919,7574636979.0,,,,,,
India,3.777100086,2667690000000.0,,,,,,
Zambia,3.759799957,18110631358.0,,,,,,
Malawi,3.750400066,12172128470.0,,,,,,
Tanzania,3.702399969,62409709111.0,,,,,,
Sierra Leone,3.573999882,4063289450.0,,,,,,
Lesotho,3.511800051,2250717718.0,,,,,,
Botswana,3.471100092,14930072799.0,,,,,,
Rwanda,3.268199921,10184345442.0,,,,,,
Zimbabwe,2.995100021,18051170799.0,,,,,,
Lebanon,2.955300093,25948915861.0,,,,,,
Afghanistan,2.403800011,20116137326.0,,,,,,
